date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2010-06-24,sh.600276,42.0000,42.5900,41.9000,42.2900,2273302,95941836.0000,3,0.305186,1,0.738400,47.995450,11.459315,9.663398,374.701646,0
2010-06-25,sh.600276,42.3000,42.3000,39.8500,40.2700,5676177,230327080.0000,3,0.762014,1,-4.776500,45.702927,10.911956,9.201822,356.803861,0
2010-06-28,sh.600276,40.2700,40.2700,40.2700,40.2700,0,0.0000,3,,0,0.000000,45.702927,10.911956,9.201822,356.803861,0
2010-06-29,sh.600276,39.8800,40.7700,38.6800,39.3000,4374297,174459973.0000,3,0.587239,1,-2.408700,44.602062,10.649116,8.980174,348.209380,0
2010-06-30,sh.600276,38.6900,39.5000,37.8800,39.0700,6978225,271794264.0000,3,0.936810,1,-0.585200,44.341032,10.586792,8.927618,346.171513,0
2010-07-01,sh.600276,39.0000,39.2500,36.8600,36.9500,4097493,155464346.0000,3,0.550079,1,-5.426200,41.935018,10.012336,8.443192,327.387699,0
2010-07-02,sh.600276,36.9500,37.5500,34.9100,37.3800,4301459,155654639.0000,3,0.577461,1,1.163700,42.423030,10.128853,8.541448,331.197624,0
2010-07-05,sh.600276,37.0800,38.6000,35.7200,37.8900,2227731,84603474.0000,3,0.299068,1,1.364400,43.001835,10.267048,8.657985,335.716371,0
2010-07-06,sh.600276,37.8900,38.4400,37.2800,37.8900,1872889,71074289.0000,3,0.251431,1,0.000000,43.001835,10.267048,8.657985,335.716371,0
2010-07-07,sh.600276,37.9100,38.9500,37.5000,38.7000,2528263,95769949.0000,3,0.339413,1,2.137800,43.921114,10.486534,8.843072,342.893206,0
2010-07-08,sh.600276,38.8000,39.4100,37.8000,38.0000,2688347,103828788.0000,3,0.360904,1,-1.808800,43.126676,10.296855,8.683120,336.691003,0
2010-07-09,sh.600276,38.2000,40.0000,37.3000,39.0000,3170331,123424608.0000,3,0.425610,1,2.631600,44.261588,10.567825,8.911623,345.551293,0
2010-07-12,sh.600276,39.0000,39.4700,38.7000,39.0100,1035910,40581571.0000,3,0.139069,1,0.025600,44.272937,10.570534,8.913908,345.639896,0
2010-07-13,sh.600276,39.1000,39.8000,38.7400,39.0400,1565113,61624862.0000,3,0.210113,1,0.076900,44.306985,10.578663,8.920763,345.905704,0
2010-07-14,sh.600276,39.0200,39.4700,37.9400,38.0000,3091776,119909159.0000,3,0.415064,1,-2.663900,43.126676,10.296855,8.683120,336.691003,0
2010-07-15,sh.600276,37.8700,38.8000,37.7500,38.2000,2101758,80809091.0000,3,0.282156,1,0.526300,43.353658,10.351049,8.728821,338.463061,0
2010-07-16,sh.600276,38.0000,38.3800,36.9100,38.3000,1549516,57979323.0000,3,0.208019,1,0.261776,43.467149,10.378146,8.751671,339.349090,0
